X_Acc,Y_Acc,Z_Acc,Sleep_Stage
X-Acceleration: -0.08 g, Y-Acceleration: 0.38 g, Z-Acceleration: 1.38 g,Awake
X-Acceleration: 0.19 g, Y-Acceleration: 0.53 g, Z-Acceleration: 1.24 g,Awake
X-Acceleration: 0.12 g, Y-Acceleration: 0.30 g, Z-Acceleration: 1.45 g,Awake
X-Acceleration: 0.61 g, Y-Acceleration: 0.68 g, Z-Acceleration: 0.20 g,Awake
X-Acceleration: 0.23 g, Y-Acceleration: 0.34 g, Z-Acceleration: 1.35 g,Awake
X-Acceleration: -0.19 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.04 g,Awake
X-Acceleration: 0.23 g, Y-Acceleration: 0.21 g, Z-Acceleration: 1.31 g,Awake
X-Acceleration: 0.11 g, Y-Acceleration: 0.40 g, Z-Acceleration: 1.35 g,Awake
X-Acceleration: -0.10 g, Y-Acceleration: 0.28 g, Z-Acceleration: 1.42 g,Awake
X-Acceleration: -0.11 g, Y-Acceleration: 0.35 g, Z-Acceleration: 1.38 g,Awake
